video_id,search_keyword,title,channel_name,upload_date,view_count,like_count,comment_count_total,comment_text,comment_author,comment_likes,comment_date
kN2E4PkmoFg,coffee shop aesthetic karawang,‼️Rekomendasi Cafe 24jam di condet gede dan luas banget! Udah gitu cocok buat wfc! Proper banget‼️,YoliJalanJalan,2025-09-15T16:19:53Z,2092,32,0,,,0,
xAh_92bOCO4,coffee shop aesthetic karawang,cafe estetik di karawang,Rekomendasi Achi,2025-09-13T08:04:01Z,1456,15,0,,,0,
hp0IM_Bx5ow,coffee shop aesthetic karawang,Tempat ngopi estetik ❤️ #enjoybekasi #coffee,HULILA :D,2025-09-13T07:59:52Z,2152,12,0,,,0,
YfuWj10wVSM,coffee shop aesthetic karawang,Night Coffee With City Lights @Kurasu Grand Indonesia #nightcoffee #coffee #grandindonesia #jakarta,Go Round and Round,2025-09-05T12:01:10Z,262,5,4,👍,@SinheTeng-s5c,0,2025-09-05T12:44:47Z
YfuWj10wVSM,coffee shop aesthetic karawang,Night Coffee With City Lights @Kurasu Grand Indonesia #nightcoffee #coffee #grandindonesia #jakarta,Go Round and Round,2025-09-05T12:01:10Z,262,5,4,👍,@Funnycat3010,0,2025-09-05T12:45:38Z
YfuWj10wVSM,coffee shop aesthetic karawang,Night Coffee With City Lights @Kurasu Grand Indonesia #nightcoffee #coffee #grandindonesia #jakarta,Go Round and Round,2025-09-05T12:01:10Z,262,5,4,👍,@karminsheilla8294,0,2025-09-05T13:35:50Z
YfuWj10wVSM,coffee shop aesthetic karawang,Night Coffee With City Lights @Kurasu Grand Indonesia #nightcoffee #coffee #grandindonesia #jakarta,Go Round and Round,2025-09-05T12:01:10Z,262,5,4,👍,@YopiLim,0,2025-09-06T05:19:33Z
ry4s-79X0Z4,coffee shop aesthetic karawang,TERRE Bistro & Bar - New Aesthetic Cafe in Cikarang #kulinercikarang #explorecikarang #cafevlog,Pure Journey,2025-09-02T12:20:31Z,1636,7,0,,,0,
Dj7650AozK8,coffee shop aesthetic karawang,Aesthetic cafe di Jakarta #fypage #cafe #jakarta,Sennas,2025-09-02T02:24:06Z,265,1,0,,,0,
VxoKnvW0Se4,coffee shop aesthetic karawang,"perfect days in Jakarta (viral donut, ghibli lakeside and cafes)",estelleinaday,2025-08-30T08:00:38Z,11784,209,15,So serene unlike the sad condition in many cities now. Stay safe ya,@awiranggayudha2063,1,2025-08-30T09:47:11Z
VxoKnvW0Se4,coffee shop aesthetic karawang,"perfect days in Jakarta (viral donut, ghibli lakeside and cafes)",estelleinaday,2025-08-30T08:00:38Z,11784,209,15,thankeww for your vlog! gonna visit this city next month. hope everyone stays safe <3,@thaihanguyen3904,0,2025-08-30T13:44:58Z
VxoKnvW0Se4,coffee shop aesthetic karawang,"perfect days in Jakarta (viral donut, ghibli lakeside and cafes)",estelleinaday,2025-08-30T08:00:38Z,11784,209,15,lanjutin kak vlog nya udh bagus banget,@forfuncycling,0,2025-10-17T01:25:44Z
VxoKnvW0Se4,coffee shop aesthetic karawang,"perfect days in Jakarta (viral donut, ghibli lakeside and cafes)",estelleinaday,2025-08-30T08:00:38Z,11784,209,15,"Nice information, thank you :)",@CumasukavideoFoodie,0,2025-09-01T14:19:13Z
VxoKnvW0Se4,coffee shop aesthetic karawang,"perfect days in Jakarta (viral donut, ghibli lakeside and cafes)",estelleinaday,2025-08-30T08:00:38Z,11784,209,15,Mantap videonya,@wonderfullmomment,0,2025-09-01T00:51:16Z
VxoKnvW0Se4,coffee shop aesthetic karawang,"perfect days in Jakarta (viral donut, ghibli lakeside and cafes)",estelleinaday,2025-08-30T08:00:38Z,11784,209,15,Jika suka bertema classic coba Ke Jogja disana lebih murah 🗿👍,@Gatengyaaa,0,2025-08-31T08:48:29Z
VxoKnvW0Se4,coffee shop aesthetic karawang,"perfect days in Jakarta (viral donut, ghibli lakeside and cafes)",estelleinaday,2025-08-30T08:00:38Z,11784,209,15,indonesia memang luas y dan lengkap sekali di dalam nyah semua nyah ada dan penuh dengan ke unikan pantas di sebut surga nyah dunia??,@GonDr-n4u,0,2025-08-30T13:23:13Z
VxoKnvW0Se4,coffee shop aesthetic karawang,"perfect days in Jakarta (viral donut, ghibli lakeside and cafes)",estelleinaday,2025-08-30T08:00:38Z,11784,209,15,When did u go? How is the situation there now?,@shnkina1family393,1,2025-08-30T16:20:12Z
ZGELB-DNqX4,coffee shop aesthetic karawang,Coffee Shop Aesthetic di Bekasi #rekomendasi #food #coffee #bekasi #kuliner,Ika Ernikawati S,2025-08-28T23:21:54Z,37,0,0,,,0,
OkqNm9UCHbY,coffee shop aesthetic karawang,AESTHETIC DAN COZY BANGET 🌿 REVIEW JUJUR OKSIGASI CAFE RESTO CIDENG JAKARTA,Mlaku Mlaku Yuuk,2025-08-26T13:15:04Z,530,9,6,Cuz la..😂,@haninmjgroup2123,1,2025-08-27T02:42:27Z
OkqNm9UCHbY,coffee shop aesthetic karawang,AESTHETIC DAN COZY BANGET 🌿 REVIEW JUJUR OKSIGASI CAFE RESTO CIDENG JAKARTA,Mlaku Mlaku Yuuk,2025-08-26T13:15:04Z,530,9,6,Keren yaa deket jembatan lima itu yah,@MadangYuuk,0,2025-08-26T13:52:42Z
OkqNm9UCHbY,coffee shop aesthetic karawang,AESTHETIC DAN COZY BANGET 🌿 REVIEW JUJUR OKSIGASI CAFE RESTO CIDENG JAKARTA,Mlaku Mlaku Yuuk,2025-08-26T13:15:04Z,530,9,6,gak ngajak2 deket rumah gw nih,@MedySiregar,0,2025-08-26T15:11:14Z
