Nama_Tempat,Kategori,Jenis_Masakan,Latitude,Longitude,Alamat_Jalan,Kota
Paseban KLM,cafe,international;coffee_shop,-6.3669672,106.93114629999998,Jalan Ampel,Bekasi
Golden Lamian,restaurant,,-6.2724198,106.91255079999999,,
"Loven,s Indomaret @SegaraCity",supermarket,,-6.117170600000001,107.00188149999998,"Jl. Segara City Regency, Segarajaya, Kec. Tarumajaya, Kabupaten Bekasi",Kab Bekasi
Sambal Hijau,restaurant,indonesian,-6.2637966,106.9504401,,
Toko Pakaian Angga Bekasi,supermarket,,-6.1766013,107.00906079999999,,Bekasi
RM Minang Sepakat,restaurant,indonesian,-6.3416094,107.12036599999999,,
Lapten,food_court,,-6.2705226,106.9863253,,
Kemang Bistro,restaurant,indonesian,-6.2705051,106.9868953,,
Super Indo,supermarket,,-6.3197942,106.967102,,
Dapur Mbak Mur,restaurant,,-6.2563252,106.9346905,,
Carl's Jr.,fast_food,burger,-6.2206561,106.92379349999999,,
Wingstop,fast_food,wings,-6.220655699999999,106.923833,,
Fish Streat,restaurant,,-6.266822799999999,106.9113609,,
Gubug Makan Mang Engking,restaurant,indonesian,-6.2235017,107.00220059999998,,
NomiNomi Delight,restaurant,,-6.271466099999999,106.9713188,,
Double U Steak,restaurant,,-6.255838799999999,106.9696525,,
Sushi Box,restaurant,,-6.2596629,106.97147099999998,,
Sate Madura Cak Mamat,restaurant,indonesian,-6.225334400000001,106.9318736,Jalan Malaka Raya,DKI Jakarta
Warunk Upnormal,cafe,,-6.2539045,106.9092704,Jalan Jati Waringin,
Obonk Steak & Ribs,restaurant,,-6.2541177999999995,106.9092996,Jalan Jati Waringin,
Bebek Goreng H. Slamet,restaurant,,-6.254020599999999,106.90927959999999,Jalan Jati Waringin,
Lawson,convenience,,-6.2584735,106.9279573,,
Solaria,restaurant,,-6.2589601,106.9279629,,
Simpang Raya,restaurant,,-6.258475499999999,106.9280495,,
Gokana,restaurant,,-6.2584771,106.92788609999998,,
Alfaexpress,convenience,,-6.258814799999999,106.9279997,,
Avenzel Hotel,hotel,,-6.3745102,106.91807330000002,,
Hyfresh,supermarket,,-6.337064,107.16627119999998,,
Naga Swalayan Bekasi,supermarket,,-6.295328499999999,106.9212279,,
Pempek Gaby Jatiasih,restaurant,,-6.29633,106.9593267,,
Casy Catering Mpasi Bayi,restaurant,,-6.2725382,106.9234872,,
Hotel Gandamanah Bekasi,hotel,,-6.318900499999999,106.9858413,,
Doyan Salad Bekasi,restaurant,,-6.2414842,106.9846061,,
Casapatsong Kitchen Garden,restaurant,,-6.245055999999999,106.97586009999999,,
Hotel 88 Bekasi,hotel,,-6.2614251,107.0016174,,
Pempek Palembang Gaby,restaurant,,-6.259392499999999,106.9953038,,
Versa Hotel,hotel,,-6.2566920999999995,107.02117739999998,,
SUSHIGAN!,restaurant,japanese,-6.274168999999999,106.97393689999998,Jalan Boulevard Raya Barat,Kota Bekasi
